timestamp,date,hour,day_of_week,station,city,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,wind_direction,AQI_category
2024-01-01 12:00,2024-01-01,12,Monday,Central,Delhi,204.2,289.5,65.3,21.0,0.77,46.4,26.1,46.0,0.6,N,Very Poor
2024-01-01 13:00,2024-01-01,13,Monday,Central,Delhi,146.7,205.5,47.3,5.4,0.92,55.8,26.4,58.0,2.0,SW,Very Poor
2024-01-01 14:00,2024-01-01,14,Monday,Central,Delhi,181.8,240.9,53.5,17.0,0.96,55.7,26.3,54.0,0.7,N,Very Poor
2024-01-01 15:00,2024-01-01,15,Monday,Central,Delhi,210.3,295.9,59.6,16.5,1.75,34.6,24.9,51.0,4.6,SE,Very Poor
2024-01-01 16:00,2024-01-01,16,Monday,Central,Delhi,145.3,209.0,42.2,20.5,0.58,30.3,24.5,56.0,3.2,NE,Very Poor
2024-01-01 17:00,2024-01-01,17,Monday,Central,Delhi,295.5,379.8,93.5,21.5,3.2,37.8,20.0,62.0,1.3,E,Severe
2024-01-01 18:00,2024-01-01,18,Monday,Central,Delhi,289.9,432.2,92.5,5.0,0.85,41.4,19.5,72.0,3.1,N,Severe
2024-01-01 19:00,2024-01-01,19,Monday,Central,Delhi,269.1,378.1,81.8,7.8,1.46,44.2,14.7,73.0,2.5,E,Severe
2024-01-01 20:00,2024-01-01,20,Monday,Central,Delhi,232.2,313.0,72.4,19.8,2.16,45.9,14.7,83.0,2.2,S,Very Poor
2024-01-01 21:00,2024-01-01,21,Monday,Central,Delhi,187.1,262.9,51.3,14.4,1.78,20.1,12.5,76.0,1.3,SW,Very Poor
2024-01-01 22:00,2024-01-01,22,Monday,Central,Delhi,182.2,265.6,55.1,11.3,1.93,29.5,12.4,79.0,7.4,NE,Very Poor
2024-01-01 23:00,2024-01-01,23,Monday,Central,Delhi,157.3,228.2,45.1,10.8,0.86,28.8,11.8,78.0,0.9,SW,Very Poor
2024-01-02 00:00,2024-01-02,0,Tuesday,Central,Delhi,154.4,206.8,50.4,19.4,2.04,36.2,11.0,86.0,3.1,NW,Very Poor
2024-01-02 01:00,2024-01-02,1,Tuesday,Central,Delhi,127.7,180.1,38.7,12.2,1.11,29.9,10.7,80.0,1.2,NE,Very Poor
2024-01-02 02:00,2024-01-02,2,Tuesday,Central,Delhi,120.9,167.1,42.7,8.4,1.11,21.5,11.5,78.0,2.4,W,Very Poor
2024-01-02 03:00,2024-01-02,3,Tuesday,Central,Delhi,113.2,148.7,29.8,17.3,0.57,24.9,12.3,72.0,3.4,N,Poor
2024-01-02 04:00,2024-01-02,4,Tuesday,Central,Delhi,116.4,158.3,41.7,15.9,0.6,51.4,14.8,74.0,2.9,W,Poor
2024-01-02 05:00,2024-01-02,5,Tuesday,Central,Delhi,145.1,191.9,46.3,6.8,0.66,21.8,15.7,66.0,10.2,S,Very Poor
2024-01-02 06:00,2024-01-02,6,Tuesday,Central,Delhi,164.4,230.4,38.2,7.7,1.18,32.3,16.7,71.0,0.6,W,Very Poor
2024-01-02 07:00,2024-01-02,7,Tuesday,Central,Delhi,289.9,407.5,96.4,13.9,2.21,39.8,20.8,65.0,4.5,SE,Severe
2024-01-02 08:00,2024-01-02,8,Tuesday,Central,Delhi,241.3,374.9,79.8,11.3,3.0,49.7,22.3,59.0,0.7,NW,Very Poor
2024-01-02 09:00,2024-01-02,9,Tuesday,Central,Delhi,241.0,319.6,83.3,9.2,1.82,42.4,24.6,54.0,0.6,N,Very Poor
2024-01-02 10:00,2024-01-02,10,Tuesday,Central,Delhi,153.9,225.8,50.4,18.4,1.96,32.8,24.1,57.0,1.5,SW,Very Poor
2024-01-02 11:00,2024-01-02,11,Tuesday,Central,Delhi,154.7,200.7,49.9,16.2,1.56,28.6,26.9,41.0,2.2,N,Very Poor
2024-01-02 12:00,2024-01-02,12,Tuesday,Central,Delhi,180.1,249.2,57.9,20.8,1.29,55.7,26.0,43.0,1.5,E,Very Poor
2024-01-02 13:00,2024-01-02,13,Tuesday,Central,Delhi,157.6,217.7,50.4,20.4,1.94,80.7,28.6,52.0,9.2,N,Very Poor
2024-01-02 14:00,2024-01-02,14,Tuesday,Central,Delhi,178.8,268.3,54.1,18.6,1.5,17.8,25.4,46.0,4.7,W,Very Poor
2024-01-02 15:00,2024-01-02,15,Tuesday,Central,Delhi,138.4,196.3,46.3,10.7,1.51,45.3,26.1,51.0,1.2,E,Very Poor
2024-01-02 16:00,2024-01-02,16,Tuesday,Central,Delhi,166.1,221.8,52.0,5.7,0.55,22.6,21.8,63.0,2.7,SW,Very Poor
2024-01-02 17:00,2024-01-02,17,Tuesday,Central,Delhi,285.0,383.6,89.0,13.7,1.67,46.2,20.3,63.0,1.5,NW,Severe
2024-01-02 18:00,2024-01-02,18,Tuesday,Central,Delhi,279.4,393.8,103.6,16.5,1.74,40.2,18.8,68.0,0.6,SE,Severe
2024-01-02 19:00,2024-01-02,19,Tuesday,Central,Delhi,282.4,394.1,84.3,6.6,1.5,24.4,14.3,75.0,1.2,SE,Severe
2024-01-02 20:00,2024-01-02,20,Tuesday,Central,Delhi,262.2,403.1,88.5,16.3,0.94,49.9,13.3,75.0,1.9,NW,Severe
2024-01-02 21:00,2024-01-02,21,Tuesday,Central,Delhi,217.8,308.2,73.9,7.6,1.14,45.3,13.0,76.0,1.7,NE,Very Poor
2024-01-02 22:00,2024-01-02,22,Tuesday,Central,Delhi,192.6,269.5,61.7,12.7,1.15,28.0,11.7,78.0,4.2,S,Very Poor
2024-01-02 23:00,2024-01-02,23,Tuesday,Central,Delhi,186.0,253.0,64.7,8.9,0.77,27.2,9.2,77.0,5.8,NW,Very Poor
2024-01-03 00:00,2024-01-03,0,Wednesday,Central,Delhi,150.9,225.7,48.6,13.5,1.79,36.5,9.1,81.0,2.6,SW,Very Poor
2024-01-03 01:00,2024-01-03,1,Wednesday,Central,Delhi,153.6,209.7,57.9,11.9,1.32,40.6,10.8,80.0,2.8,NE,Very Poor
2024-01-03 02:00,2024-01-03,2,Wednesday,Central,Delhi,141.1,196.9,44.9,18.0,0.77,40.0,8.0,71.0,2.0,NE,Very Poor
2024-01-03 03:00,2024-01-03,3,Wednesday,Central,Delhi,130.9,173.4,39.0,14.5,0.72,37.1,16.0,71.0,1.8,NW,Very Poor
2024-01-03 04:00,2024-01-03,4,Wednesday,Central,Delhi,124.0,165.0,38.7,16.0,0.51,25.2,15.6,69.0,0.7,N,Very Poor
2024-01-03 05:00,2024-01-03,5,Wednesday,Central,Delhi,121.4,177.3,37.2,7.0,0.7,29.7,16.1,65.0,3.4,NW,Very Poor
2024-01-03 06:00,2024-01-03,6,Wednesday,Central,Delhi,182.5,253.7,60.0,7.9,0.78,31.3,19.3,74.0,1.7,NW,Very Poor
2024-01-03 07:00,2024-01-03,7,Wednesday,Central,Delhi,259.7,372.3,76.3,19.0,2.55,19.6,19.7,65.0,1.8,NW,Severe
2024-01-03 08:00,2024-01-03,8,Wednesday,Central,Delhi,251.5,352.5,72.1,10.3,0.86,49.2,21.2,64.0,4.4,S,Severe
2024-01-03 09:00,2024-01-03,9,Wednesday,Central,Delhi,290.9,440.8,95.3,14.2,2.07,38.0,21.6,50.0,6.2,NW,Severe
2024-01-03 10:00,2024-01-03,10,Wednesday,Central,Delhi,128.3,188.7,40.3,8.8,0.52,23.9,25.3,49.0,1.0,SW,Very Poor
2024-01-03 11:00,2024-01-03,11,Wednesday,Central,Delhi,156.8,229.1,49.7,4.9,1.94,46.0,27.1,53.0,3.7,E,Very Poor
2024-01-03 12:00,2024-01-03,12,Wednesday,Central,Delhi,133.1,192.2,39.5,10.2,1.05,47.1,27.0,48.0,2.9,NW,Very Poor
2024-01-03 13:00,2024-01-03,13,Wednesday,Central,Delhi,160.4,225.5,46.8,20.5,0.88,53.1,24.8,42.0,2.5,NE,Very Poor
2024-01-03 14:00,2024-01-03,14,Wednesday,Central,Delhi,154.5,225.3,52.7,14.8,1.12,40.5,26.3,54.0,4.9,SE,Very Poor
2024-01-03 15:00,2024-01-03,15,Wednesday,Central,Delhi,162.4,236.1,50.3,21.4,0.69,38.3,24.1,56.0,0.6,S,Very Poor
2024-01-03 16:00,2024-01-03,16,Wednesday,Central,Delhi,173.2,238.5,52.2,7.6,1.68,41.5,21.5,49.0,5.7,N,Very Poor
2024-01-03 17:00,2024-01-03,17,Wednesday,Central,Delhi,280.3,428.9,85.1,19.9,2.21,37.2,23.3,55.0,1.6,W,Severe
2024-01-03 18:00,2024-01-03,18,Wednesday,Central,Delhi,288.3,407.1,84.0,20.6,2.15,30.1,18.6,66.0,2.9,SE,Severe
2024-01-03 19:00,2024-01-03,19,Wednesday,Central,Delhi,256.9,375.9,87.0,17.9,0.96,25.6,16.0,76.0,4.0,SW,Severe
2024-01-03 20:00,2024-01-03,20,Wednesday,Central,Delhi,263.7,352.5,79.7,8.7,2.5,43.4,14.8,78.0,2.5,E,Severe
2024-01-03 21:00,2024-01-03,21,Wednesday,Central,Delhi,207.4,308.7,66.9,20.9,1.02,26.4,10.0,73.0,2.9,NE,Very Poor
2024-01-03 22:00,2024-01-03,22,Wednesday,Central,Delhi,189.0,300.7,58.3,19.5,2.08,38.0,11.3,80.0,3.6,NE,Very Poor
2024-01-03 23:00,2024-01-03,23,Wednesday,Central,Delhi,190.0,258.9,65.8,6.0,0.54,22.2,10.0,78.0,1.0,SE,Very Poor
2024-01-04 00:00,2024-01-04,0,Thursday,Central,Delhi,186.2,276.1,50.5,5.7,1.0,46.2,12.5,83.0,6.8,NE,Very Poor
2024-01-04 01:00,2024-01-04,1,Thursday,Central,Delhi,93.0,136.2,29.1,14.7,0.32,50.0,11.2,73.0,1.0,S,Poor
2024-01-04 02:00,2024-01-04,2,Thursday,Central,Delhi,155.0,197.7,44.6,20.9,0.5,32.9,12.0,88.0,0.7,W,Very Poor
2024-01-04 03:00,2024-01-04,3,Thursday,Central,Delhi,129.1,176.2,44.1,12.7,1.06,31.6,13.0,80.0,1.4,E,Very Poor
2024-01-04 04:00,2024-01-04,4,Thursday,Central,Delhi,87.7,130.0,30.2,7.4,0.51,48.2,11.1,72.0,1.3,SW,Poor
2024-01-04 05:00,2024-01-04,5,Thursday,Central,Delhi,138.2,206.1,35.8,9.1,0.53,36.0,13.6,73.0,2.6,E,Very Poor
2024-01-04 06:00,2024-01-04,6,Thursday,Central,Delhi,157.9,229.8,48.5,16.9,1.94,47.2,17.6,72.0,1.1,W,Very Poor
2024-01-04 07:00,2024-01-04,7,Thursday,Central,Delhi,227.5,323.4,67.2,17.2,2.69,22.8,20.8,65.0,3.5,N,Very Poor
2024-01-04 08:00,2024-01-04,8,Thursday,Central,Delhi,231.8,312.5,80.3,9.3,2.24,32.7,19.6,49.0,1.4,SE,Very Poor
2024-01-04 09:00,2024-01-04,9,Thursday,Central,Delhi,333.1,459.9,106.6,14.3,3.25,34.8,23.8,49.0,2.3,N,Severe
2024-01-04 10:00,2024-01-04,10,Thursday,Central,Delhi,209.6,304.4,62.4,18.8,1.95,36.7,24.5,50.0,0.5,NE,Very Poor
2024-01-04 11:00,2024-01-04,11,Thursday,Central,Delhi,150.9,226.4,47.8,13.2,0.47,40.1,28.6,50.0,0.8,SW,Very Poor
2024-01-04 12:00,2024-01-04,12,Thursday,Central,Delhi,171.6,253.0,61.0,7.7,1.84,41.0,27.7,52.0,0.6,SE,Very Poor
2024-01-04 13:00,2024-01-04,13,Thursday,Central,Delhi,119.2,168.7,36.7,5.9,1.72,42.3,26.3,52.0,2.9,SW,Poor
2024-01-04 14:00,2024-01-04,14,Thursday,Central,Delhi,208.1,288.0,65.7,8.4,0.41,30.2,25.4,50.0,2.2,S,Very Poor
2024-01-04 15:00,2024-01-04,15,Thursday,Central,Delhi,168.9,241.9,48.5,12.8,0.92,36.4,26.3,52.0,2.8,N,Very Poor
2024-01-04 16:00,2024-01-04,16,Thursday,Central,Delhi,180.6,246.7,59.5,9.4,1.32,31.0,23.7,52.0,2.5,NW,Very Poor
2024-01-04 17:00,2024-01-04,17,Thursday,Central,Delhi,263.4,394.0,87.1,17.0,2.26,52.3,20.7,64.0,3.5,N,Severe
2024-01-04 18:00,2024-01-04,18,Thursday,Central,Delhi,303.1,428.8,98.4,21.1,3.13,34.9,17.9,65.0,1.5,NE,Severe
2024-01-04 19:00,2024-01-04,19,Thursday,Central,Delhi,268.6,353.4,93.7,14.2,1.83,49.0,12.3,74.0,1.8,W,Severe
2024-01-04 20:00,2024-01-04,20,Thursday,Central,Delhi,303.4,430.6,103.0,19.7,2.11,26.6,12.0,75.0,4.5,W,Severe
2024-01-04 21:00,2024-01-04,21,Thursday,Central,Delhi,186.0,295.4,55.3,9.4,1.12,21.8,13.0,67.0,3.8,N,Very Poor
2024-01-04 22:00,2024-01-04,22,Thursday,Central,Delhi,178.3,240.5,51.4,8.7,0.48,19.2,9.7,78.0,1.7,NW,Very Poor
2024-01-04 23:00,2024-01-04,23,Thursday,Central,Delhi,190.2,258.6,63.5,14.7,2.17,49.0,11.7,80.0,11.8,W,Very Poor
2024-01-05 00:00,2024-01-05,0,Friday,Central,Delhi,188.7,271.7,60.5,8.7,0.72,26.2,13.9,82.0,1.6,S,Very Poor
2024-01-05 01:00,2024-01-05,1,Friday,Central,Delhi,122.0,172.3,33.7,14.8,0.96,27.6,7.7,92.0,14.5,E,Very Poor
2024-01-05 02:00,2024-01-05,2,Friday,Central,Delhi,123.9,168.0,46.2,14.5,0.41,48.8,12.7,76.0,6.0,N,Very Poor
2024-01-05 03:00,2024-01-05,3,Friday,Central,Delhi,129.7,181.6,40.0,20.5,1.27,28.3,12.2,76.0,2.4,S,Very Poor
2024-01-05 04:00,2024-01-05,4,Friday,Central,Delhi,116.6,165.7,36.5,12.9,0.99,47.0,16.0,78.0,2.6,S,Poor
2024-01-05 05:00,2024-01-05,5,Friday,Central,Delhi,115.7,171.5,36.4,8.9,0.49,24.1,14.4,66.0,7.2,SE,Poor
2024-01-05 06:00,2024-01-05,6,Friday,Central,Delhi,215.7,313.0,66.7,10.4,1.74,24.1,18.4,67.0,2.3,W,Very Poor
2024-01-05 07:00,2024-01-05,7,Friday,Central,Delhi,267.4,371.1,79.8,14.2,0.84,31.6,19.7,58.0,0.5,N,Severe
2024-01-05 08:00,2024-01-05,8,Friday,Central,Delhi,316.6,412.9,100.6,5.9,1.41,43.0,22.8,58.0,1.6,NE,Severe
2024-01-05 09:00,2024-01-05,9,Friday,Central,Delhi,230.7,314.7,83.4,15.7,2.0,31.8,25.6,53.0,1.2,W,Very Poor
2024-01-05 10:00,2024-01-05,10,Friday,Central,Delhi,132.5,182.5,37.5,18.2,1.48,26.2,24.9,53.0,3.2,E,Very Poor
2024-01-05 11:00,2024-01-05,11,Friday,Central,Delhi,155.2,198.0,46.5,10.2,1.53,63.5,26.5,49.0,3.6,NE,Very Poor
2024-01-05 12:00,2024-01-05,12,Friday,Central,Delhi,164.9,244.6,53.1,17.8,1.73,64.6,26.9,46.0,0.6,SE,Very Poor
2024-01-05 13:00,2024-01-05,13,Friday,Central,Delhi,173.0,263.0,60.7,9.0,1.26,27.7,26.6,47.0,1.5,NE,Very Poor
2024-01-05 14:00,2024-01-05,14,Friday,Central,Delhi,153.8,226.9,47.2,6.0,1.0,45.2,25.1,46.0,3.5,N,Very Poor
2024-01-05 15:00,2024-01-05,15,Friday,Central,Delhi,181.7,267.4,60.8,7.3,0.53,51.5,23.8,53.0,1.1,N,Very Poor
2024-01-05 16:00,2024-01-05,16,Friday,Central,Delhi,162.1,228.1,51.7,6.3,0.93,19.7,19.1,57.0,0.9,W,Very Poor
2024-01-05 17:00,2024-01-05,17,Friday,Central,Delhi,232.9,342.4,76.2,5.5,2.22,51.3,22.8,67.0,2.9,N,Very Poor
2024-01-05 18:00,2024-01-05,18,Friday,Central,Delhi,282.1,410.0,84.4,18.5,0.79,49.4,19.8,70.0,2.0,E,Severe
2024-01-05 19:00,2024-01-05,19,Friday,Central,Delhi,256.8,356.9,72.7,17.0,1.99,41.0,19.7,67.0,1.5,SW,Severe
2024-01-05 20:00,2024-01-05,20,Friday,Central,Delhi,275.4,375.9,86.2,14.1,2.37,26.5,17.4,68.0,3.4,S,Severe
2024-01-05 21:00,2024-01-05,21,Friday,Central,Delhi,197.5,258.9,60.1,18.9,0.71,51.7,14.2,75.0,3.0,SE,Very Poor
2024-01-05 22:00,2024-01-05,22,Friday,Central,Delhi,150.3,232.4,46.7,19.5,2.02,33.1,13.9,81.0,6.6,SE,Very Poor
2024-01-05 23:00,2024-01-05,23,Friday,Central,Delhi,150.0,203.7,38.4,18.8,0.82,45.3,13.0,73.0,3.0,SW,Very Poor
2024-01-06 00:00,2024-01-06,0,Saturday,Central,Delhi,156.8,233.2,51.3,12.3,1.33,31.0,9.6,75.0,1.7,N,Very Poor
2024-01-06 01:00,2024-01-06,1,Saturday,Central,Delhi,112.6,171.9,39.7,11.5,0.57,26.7,10.2,83.0,1.5,S,Poor
2024-01-06 02:00,2024-01-06,2,Saturday,Central,Delhi,104.2,155.4,34.4,16.7,0.48,24.4,9.2,77.0,5.1,SE,Poor
2024-01-06 03:00,2024-01-06,3,Saturday,Central,Delhi,136.5,193.4,46.5,13.9,0.32,52.5,12.1,74.0,0.6,N,Very Poor
2024-01-06 04:00,2024-01-06,4,Saturday,Central,Delhi,113.3,158.6,35.7,5.5,0.44,52.5,11.2,73.0,5.6,W,Poor
2024-01-06 05:00,2024-01-06,5,Saturday,Central,Delhi,112.0,140.7,35.9,13.7,0.42,23.2,15.0,71.0,1.0,W,Poor
2024-01-06 06:00,2024-01-06,6,Saturday,Central,Delhi,145.5,224.0,44.9,16.4,1.91,51.1,18.5,65.0,2.9,NW,Very Poor
2024-01-06 07:00,2024-01-06,7,Saturday,Central,Delhi,288.6,397.5,92.5,18.2,3.04,39.3,21.5,68.0,1.6,NE,Severe
2024-01-06 08:00,2024-01-06,8,Saturday,Central,Delhi,264.3,366.8,85.1,17.2,2.97,32.5,24.3,62.0,4.6,NE,Severe
2024-01-06 09:00,2024-01-06,9,Saturday,Central,Delhi,198.7,290.2,60.3,11.1,1.38,40.9,25.5,49.0,2.9,W,Very Poor
2024-01-06 10:00,2024-01-06,10,Saturday,Central,Delhi,126.5,191.6,34.7,11.1,0.73,21.1,24.7,59.0,2.9,SW,Very Poor
2024-01-06 11:00,2024-01-06,11,Saturday,Central,Delhi,158.7,258.0,49.9,20.8,1.73,75.1,26.1,46.0,1.2,SE,Very Poor
2024-01-06 12:00,2024-01-06,12,Saturday,Central,Delhi,165.0,238.5,54.2,20.9,0.39,25.7,27.5,49.0,7.0,W,Very Poor
2024-01-06 13:00,2024-01-06,13,Saturday,Central,Delhi,148.2,207.2,41.2,8.1,0.63,54.7,29.0,52.0,7.1,SE,Very Poor
2024-01-06 14:00,2024-01-06,14,Saturday,Central,Delhi,109.1,156.3,38.3,9.4,1.03,20.6,26.3,54.0,1.0,S,Poor
2024-01-06 15:00,2024-01-06,15,Saturday,Central,Delhi,125.1,170.7,36.4,18.1,0.66,75.3,22.6,54.0,4.7,SE,Very Poor
2024-01-06 16:00,2024-01-06,16,Saturday,Central,Delhi,143.7,197.6,45.5,18.6,1.79,26.4,23.0,59.0,1.8,S,Very Poor
2024-01-06 17:00,2024-01-06,17,Saturday,Central,Delhi,197.3,281.7,69.3,9.1,1.4,43.8,20.9,65.0,4.6,E,Very Poor
2024-01-06 18:00,2024-01-06,18,Saturday,Central,Delhi,287.5,379.1,93.9,19.3,1.14,21.9,17.1,65.0,2.8,NW,Severe
2024-01-06 19:00,2024-01-06,19,Saturday,Central,Delhi,223.3,325.4,62.4,5.8,0.95,28.0,18.6,73.0,2.0,S,Very Poor
2024-01-06 20:00,2024-01-06,20,Saturday,Central,Delhi,244.9,372.2,74.4,6.2,2.93,25.2,13.9,68.0,1.6,SE,Very Poor
2024-01-06 21:00,2024-01-06,21,Saturday,Central,Delhi,143.8,214.7,44.3,16.0,0.53,40.6,13.5,69.0,3.3,SE,Very Poor
2024-01-06 22:00,2024-01-06,22,Saturday,Central,Delhi,135.1,178.2,44.7,17.1,1.24,20.7,14.2,80.0,1.0,W,Very Poor
2024-01-06 23:00,2024-01-06,23,Saturday,Central,Delhi,158.7,215.5,51.8,11.7,1.16,46.9,10.4,81.0,1.7,W,Very Poor
2024-01-07 00:00,2024-01-07,0,Sunday,Central,Delhi,136.6,189.0,47.0,13.6,1.52,21.7,10.4,78.0,4.9,SW,Very Poor
2024-01-07 01:00,2024-01-07,1,Sunday,Central,Delhi,109.3,148.3,31.0,11.2,0.68,26.8,12.4,80.0,1.3,NE,Poor
2024-01-07 02:00,2024-01-07,2,Sunday,Central,Delhi,122.9,172.9,39.3,19.1,0.55,50.6,11.3,78.0,1.7,NW,Very Poor
2024-01-07 03:00,2024-01-07,3,Sunday,Central,Delhi,109.3,148.2,35.4,8.4,1.32,29.7,13.6,76.0,2.6,S,Poor
2024-01-07 04:00,2024-01-07,4,Sunday,Central,Delhi,115.4,168.8,40.2,7.7,0.96,32.3,15.0,71.0,0.7,NE,Poor
2024-01-07 05:00,2024-01-07,5,Sunday,Central,Delhi,97.1,135.7,30.3,17.8,0.43,39.0,17.2,67.0,0.5,E,Poor
2024-01-07 06:00,2024-01-07,6,Sunday,Central,Delhi,186.1,277.5,57.4,5.8,2.19,20.6,20.4,63.0,0.8,SW,Very Poor
2024-01-07 07:00,2024-01-07,7,Sunday,Central,Delhi,207.8,300.0,60.3,15.2,2.14,26.5,19.2,58.0,1.0,SE,Very Poor
2024-01-07 08:00,2024-01-07,8,Sunday,Central,Delhi,196.6,273.4,61.0,8.1,1.52,32.8,23.7,60.0,4.2,SW,Very Poor
2024-01-07 09:00,2024-01-07,9,Sunday,Central,Delhi,238.0,330.6,68.4,18.1,2.01,42.0,24.5,50.0,1.5,NE,Very Poor
2024-01-07 10:00,2024-01-07,10,Sunday,Central,Delhi,124.6,174.9,32.9,19.0,0.52,35.4,28.2,50.0,3.8,NW,Very Poor
2024-01-07 11:00,2024-01-07,11,Sunday,Central,Delhi,126.5,181.7,43.5,19.2,1.0,78.0,26.6,51.0,4.6,NW,Very Poor
2024-01-07 12:00,2024-01-07,12,Sunday,Central,Delhi,153.0,209.8,56.3,15.9,1.81,56.0,25.3,47.0,2.3,E,Very Poor
2024-01-07 13:00,2024-01-07,13,Sunday,Central,Delhi,144.4,196.8,45.0,5.4,1.57,57.5,25.7,51.0,0.6,SE,Very Poor
2024-01-07 14:00,2024-01-07,14,Sunday,Central,Delhi,127.9,191.4,37.0,17.8,1.43,24.9,23.1,57.0,1.3,SW,Very Poor
2024-01-07 15:00,2024-01-07,15,Sunday,Central,Delhi,153.7,216.4,44.9,19.9,1.63,27.9,23.5,54.0,8.5,W,Very Poor
2024-01-07 16:00,2024-01-07,16,Sunday,Central,Delhi,130.6,192.1,41.1,14.6,1.57,46.5,22.6,54.0,1.5,NW,Very Poor
2024-01-07 17:00,2024-01-07,17,Sunday,Central,Delhi,236.2,327.9,69.4,14.0,1.58,24.2,20.7,60.0,3.3,E,Very Poor
2024-01-07 18:00,2024-01-07,18,Sunday,Central,Delhi,195.7,287.6,62.8,19.0,3.05,27.3,18.6,64.0,5.1,NW,Very Poor
2024-01-07 19:00,2024-01-07,19,Sunday,Central,Delhi,268.9,399.2,78.9,9.3,1.97,43.6,16.6,66.0,0.7,NE,Severe
2024-01-07 20:00,2024-01-07,20,Sunday,Central,Delhi,249.6,351.2,80.2,14.7,1.82,28.8,16.7,80.0,5.7,W,Very Poor
2024-01-07 21:00,2024-01-07,21,Sunday,Central,Delhi,169.0,235.4,57.3,7.5,1.4,46.5,13.3,77.0,1.3,E,Very Poor
2024-01-07 22:00,2024-01-07,22,Sunday,Central,Delhi,181.6,249.8,58.1,17.1,1.51,25.1,9.2,83.0,2.5,SW,Very Poor
2024-01-07 23:00,2024-01-07,23,Sunday,Central,Delhi,145.7,207.2,46.6,18.8,0.42,44.4,11.6,84.0,4.0,W,Very Poor
2024-01-08 00:00,2024-01-08,0,Monday,Central,Delhi,201.0,277.3,71.7,19.7,1.47,32.1,9.6,87.0,0.5,SW,Very Poor
2024-01-08 01:00,2024-01-08,1,Monday,Central,Delhi,112.2,154.4,31.9,11.6,1.32,36.1,9.7,81.0,1.1,SE,Poor
2024-01-08 02:00,2024-01-08,2,Monday,Central,Delhi,156.2,230.0,46.5,18.7,0.92,21.3,12.5,77.0,4.3,SW,Very Poor
2024-01-08 03:00,2024-01-08,3,Monday,Central,Delhi,117.4,165.6,40.6,11.1,0.42,43.9,11.6,70.0,0.7,SE,Poor
2024-01-08 04:00,2024-01-08,4,Monday,Central,Delhi,117.4,180.3,40.4,6.8,0.82,47.5,15.1,77.0,2.7,N,Poor
2024-01-08 05:00,2024-01-08,5,Monday,Central,Delhi,100.3,146.1,35.7,14.7,1.17,50.6,15.5,71.0,1.7,NW,Poor
2024-01-08 06:00,2024-01-08,6,Monday,Central,Delhi,196.4,268.7,55.8,7.0,0.55,43.6,13.9,54.0,3.8,SW,Very Poor
2024-01-08 07:00,2024-01-08,7,Monday,Central,Delhi,246.5,338.4,75.1,11.5,2.8,34.8,18.8,57.0,4.4,NE,Very Poor
2024-01-08 08:00,2024-01-08,8,Monday,Central,Delhi,247.9,375.7,74.5,5.9,2.83,23.4,22.2,48.0,1.6,W,Very Poor
2024-01-08 09:00,2024-01-08,9,Monday,Central,Delhi,283.5,405.4,100.9,7.0,2.75,32.1,24.6,57.0,2.9,S,Severe
2024-01-08 10:00,2024-01-08,10,Monday,Central,Delhi,144.3,208.6,40.4,21.1,1.35,30.6,28.7,49.0,5.3,W,Very Poor
2024-01-08 11:00,2024-01-08,11,Monday,Central,Delhi,150.3,215.2,47.3,8.6,1.01,49.5,26.3,56.0,2.9,SW,Very Poor
